
cannon cannons
canthus canthi
canula canulae
canzone canzoni
cap caps
capitulum capitula
capriccio capricci
caption captions
caput capita
carabiniere carabinieri
carbonado carbonadoes
car cars
carcinoma carcinomata
card cards
care cares
cargo cargoes
carina carinae
carolus caroli
carpenter carpenters
carpogonium carpogonia
carpus carpi
carriage carriages
cart carts
caryatid carides
caryopsis caryopses
caryopsis caryopsides
cast casts
castrato castrati
catabasis catabases
cataclasis cataclases
catalo cataloes
catalysis catalyses
cat cats
catena catenae
catfish catfishes
cathar cathari
cathexis cathexes
cattalo cattaloes
cattle cattle
caudex caudices
caulis caules
cause causes
cavatina cavatine
cave caves
cavefish cavefishes
cavetto cavetti
cecum ceca
celery celery
cella cellae
cellar cellars
cembalo cembali
cemetery cemeteries
cent cents
centesimo centesimi
centipede centipedes
centrum centra
cephalothorax cephalothoraces
cercaria cercariae
cercus cerci
cerebellum cerebella
cerebrum cerebra
cervix cervices
cesura cesurae
chaeta chaetae
chain chains
chair chairs
chalaza chalazae
chalk chalks
chalutz chalutzim
chance chances
change changes
channel channels
chapati chapaties
chapatti chapatties
chapeau chapeaux
chasid chasidim
chassid chassidim
chateau chateaux
chazan chazanim
cheder chadarim
cheder chedarim
cheese cheeses
chela chelae
chelicera chelicerae
cherry cherries
cherub cherubim
chess chess
chiasma chiasmata
chiasmus chiasmi
chicken chickens
child children
children children
chilli chillies
chin chins
chitarrone chitarroni
chlamys chlamydes
chondroma chondromata
choragus choragi
choriambus choriambi
chou choux
chromonema chromonemata
chrysalis chrysalides
church churches
chuvash chuvashes
ciborium ciboria
cicada cicadae
cicala cicale
cicatrix cicatrices
cicerone ciceroni
cicisbeo cicisbei
cilium cilia
cimex cimices
cinerarium cineraria
cingulum cingula
circle circles
cirrocumulus cirrocumuli
cirrostratus cirrostrati
cirrus cirri
cisco ciscoes
cisterna cisternae
clam clams
clarino clani
clarino clanos
claro claroes
clepsydra clepsydrae
clinandrium clinandria
clingfish clingfishes
clitellum clitella
cloaca cloacae
clock clocks
clostridium clostridia
cloth cloths
cloud clouds
clover clovers
cloverleaf cloverleaves
club clubs
clypeus clypei
coach coaches
coagulum coagula
coal coals
coalfish coalfishes
coast coasts
coat coats
cobweb cobwebs
coccus cocci
coccyx coccyges
cochlea cochleae
coconut coconuts
codex codices
codfish codfishes
coelenteron coelentera
coenurus coenuri
cognomen cognomina
cognosente cognosenti
coil coils
coleorhiza coleorhizae
collar collars
collegium collegia
colloquium colloquia
colluvium colluvia
collyrium collyria
colon cola
colon colons
color colors
colossus colossi
columbarium columbaria
columella columellae
coma comae
comatula comatulae
comb combs
comedo comedones
comfort comforts
commando commandoes
committee committees
commodity commodities
company companies
comparison comparisons
competition competitions
computer computers
concertante concertanti
concertino concertini
concerto concerti
concerto concertos
concha conchae
condition conditions
condottiere condottieri
condyloma condylomata
conferva confervae
confidence confidences
congius congii
conidium conidia
conjunctiva conjunctivae
connection connections
connotation connotations
conquistador conquistadores
consequence consequences
consortium consortia
contagium contagia
contempt contempt
continent continents
continuum continua
contralto contralti
control controls
conversazione conversazioni
convolvulus convolvuli
cook cooks
copper coppers
copula copulae
copy copies
corbicula corbiculae
cord cords
corium coria
cork corks
corn corns
cornea corneae
cornu cornua
corona coronae
corpus corpora
corrigendum corrigenda
cortex cortices
cortina cortinae
corybant corybantes
coryphaeus coryphaei
costa costae
cothurnus cothurni
cough coughs
country countries
couple couples
couteau couteaux
cover covers
cow cows
cowfish cowfishes
coxa coxae
crack cracks
cracker crackers
crambo cramboes
cranium crania
crasis crases
crate crates
crawfish crawfishes
crayon crayons
cream creams
creator creators
creature creatures
credendum credenda
credit credits
crematorium crematoria
crescendo crescendi
crib cribs
cribellum cribella
crime crimes
crisis crises
crissum crissa
crista cristae
criterion criteria
criterion criteria
criterion criterions
crocodile crocodiles
crook crooks
crow crows
crowd crowds
crown crowns
crusado crusadoes
crus crura
crush crushes
crux cruces
cruzado cruzadoes
cry cries
ctenidium ctenidia
cub cubs
cubiculum cubicula
cue cues
culex culices
culpa culpae
cultus culti
cumulonimbus cumulonimbi
cumulostratus cumulostrati
cumulus cumuli
cup cups
curia curiae
current currents
curriculum curricula
curriculum curriculums
curtain curtains
curve curves
cushion cushions
custos custodes
cuticula cuticulae
cutis cutes
cuttlefish cuttlefishes
cyclops cyclopes
cyclosis cycloses
cylix cylices
cylix cylikes
cyma cymae
cymatium cymatia
cypsela cypselae
cysticercus cysticerci
dad dads
dado dadoes
dago dagoes
daimio daymio
daimio daymios
damselfish damselfishes
dander dander
datum data
daughter daughters
day days
dealfish dealfishes
death deaths
debt debts
decemvir decemviri
decennium decennia
decidua deciduae
decision decisions
deer deer
deer deers
definiendum definienda
definiens definientia
degree degrees
delphinium delphinia
denarius denarii
dentalium dentalia
dermatosis dermatoses
desideratum desiderata
design designs
desire desires
desk desks
desperado desperadoes
destruction destruction
detail details
development developments
devilfish devilfishes
diaeresis diaereses
diaeresis diaerses
diagnosis diagnoses
dialogue dialogues
dialysis dialyses
diaphysis diaphyses
diapophysis diapophyses
diarthrosis diarthroses
diastalsis diastalses
diastasis diastases
diastema diastemata
diathesis diathses
diazo diazoes
dibbuk dibbukkim
dice dices
dice diesaddendum addenda
dichasium dichasia
dictum dicta
dido didoes
die dice
die dies
dieresis diereses
diesis dieses
differentia differentiae
digestion digestions
dike dikes
dilettante dilettanti
diluvium diluvia
dime dimes
diner diners
dingo dingoes
dinner dinners
diplococcus diplococci
direction directions
dirt dirt
discobolos discoboli
discovery discoveries
discus disci
discussion discussions
disdain disdains
disease diseases
disgust disgusts
distance distances
distribution distributions
diva dive
diverticulum diverticula
divertimento divertimenti
division divisions
djinni djinn
dock docks
doctor doctors
dodo dodoes
dog dogs
dogfish dogfishes
dogma dogmata
dogtooth dogteeth
dollarfish dollarfishes
doll dolls
domatium domatia
domino dominoes
donkey donkeys
door doors
dormouse dormice
dorsum dorsa
downtown downtown
drachma drachmae
drain drains
drawer drawers
drawknife drawknives
drink drinks
driving drivings
drop drops
drosophila drosophilae
drug drugs
drum drums
drumfish drumfishes
dryad dryades
duck ducks
duodenum duona
duodenum duonas
duo dui
dupondius dupondii
dust dusts
duumvir duumviri
dwarf dwarfs
dwarf dwarves
dybbuk dybbukkim
ear ears
earth earths
earthquake earthquakes
ecchymosis ecchymoses
ecclesia ecclesiae
ecdysis ecdyses
echidna echidnae
echinococcus echinococci
echinus echini
echo echoes
ectozoan ectozoa
eddo eddoes
edema edemata
edema oedemata
edge edges
