admit admits admitted admitting
soothe soothes soothed soothing
sparkle sparkles sparkled sparkling
spell spells spelled spelling
spill spills spilled spilling
spoil spoils spoiled spoiling
sprout sprouts sprouted sprouting
squash squashes squashed squashing
squeeze squeezes squeezed squeezing
stain stains stained staining
stamp stamps stamped stamping
stare stares stared staring
start starts started starting
stay stays stayed staying
steer steers steered steering
stretch stretches stretched stretching
strip strips stripped stripping
subtract subtracts subtracted subtracting
suck sucks sucked sucking
suffer suffers suffered suffering
suggest suggests suggested suggesting
support supports supported supporting
suppose supposes supposed supposing
suspect suspects suspected suspecting
talk talks talked talking
tease teases teased teasing
thank thanks thanked thanking
tickle tickles tickled tickling
transport transports transported transporting
travel travels travelled travelling
treat treats treated treating
tremble trembles trembled trembling
trip trips tripped tripping
trot trots trotted trotting
try tries tried trying
tug tugs tugged tugging
tumble tumbles tumbled tumbling
turn turns turned turning
twist twists twisted twisting
undress undresses undressed undressing
unfasten unfastens unfastened unfastening
unite unites united uniting
unlock unlocks unlocked unlocking
unpack unpacks unpacked unpacking
use uses used using
vanish vanishes vanished vanishing
visit visits visited visiting
wait waits waited waiting
walk walks walked walking
wander wanders wandered wandering
want wants wanted wanting
warn warns warned warning
wash washes washed washing
waste wastes wasted wasting
watch watches watched watching
wave waves waved waving
weigh weighs weighed weighing
whirl whirls whirled whirling
whisper whispers whispered whispering
wink winks winked winking
wipe wipes wiped wiping
wish wishes wished wishing
wobble wobbles wobbled wobbling
worry worries worried worrying
wrap wraps wrapped wrapping
wrestle wrestles wrestled wrestling
wriggle wriggles wriggled wriggling
yawn yawns yawned yawning
zip zips zipped zipping
zoom zooms zoomed zooming
jizz jizzes jizzed jizzing
shake shakes shook shaking
dick dicks dicked dicking
pant pants pantsed panting
diffuse diffuses diffused diffusing
flip flips flipped flipping
shoot shoots shot shooting
butt butts butted butting
leg legs legged legging
bop bops bopped bopping
fondle fondles fondled fondling
cuddle cuddles cuddled cuddling
touch touches touched touching
draw draws drawn drawing
flick flicks flicked flicking
acquire acquires acquired acquiring
leave leaves left leaving
experience experiences experienced experiencing
fart farts farted farting
murder murders murdered murdering
piss pisses pissed pissing
quickens quickens quickened quickening
pant pants panted panting
